tag,text,xpath
h3,How do returns work?,/html/body/side-drawer[2]/div/header/h3
p,"For eligible returns, a pre-paid return shipping label will be provided.",/html/body/side-drawer[2]/div/div/p[1]
p,"In order to receive a full refund, returns must include the product, all original packaging, instructions, and
          accessories.",/html/body/side-drawer[2]/div/div/p[2]
p,"All items must be returned and in good, working condition with normal wear and tear.",/html/body/side-drawer[2]/div/div/p[3]
p,Please allow up to 10 business days for processing after your return is received.,/html/body/side-drawer[2]/div/div/p[4]
p,We can only process returns for products sold on Solawave.co.,/html/body/side-drawer[2]/div/div/p[5]
p,"International orders:
          Those with unpaid customs fees are not eligible for return. Additionally, we cannot provide free return labels for
          international clients. International return shipping fees are not covered by Solawave.",/html/body/side-drawer[2]/div/div/p[6]
h3,Global Shipping,/html/body/side-drawer[3]/div/header/h3
p,"For eligible returns, a pre-paid return shipping label will be provided.",/html/body/side-drawer[2]/div/div/p[1]
p,"In order to receive a full refund, returns must include the product, all original packaging, instructions, and
          accessories.",/html/body/side-drawer[2]/div/div/p[2]
p,"All items must be returned and in good, working condition with normal wear and tear.",/html/body/side-drawer[2]/div/div/p[3]
p,Please allow up to 10 business days for processing after your return is received.,/html/body/side-drawer[2]/div/div/p[4]
p,We can only process returns for products sold on Solawave.co.,/html/body/side-drawer[2]/div/div/p[5]
p,"International orders:
          Those with unpaid customs fees are not eligible for return. Additionally, we cannot provide free return labels for
          international clients. International return shipping fees are not covered by Solawave.",/html/body/side-drawer[2]/div/div/p[6]
h3,Global Shipping,/html/body/side-drawer[3]/div/header/h3
p,"For eligible returns, a pre-paid return shipping label will be provided.",/html/body/side-drawer[2]/div/div/p[1]
p,"In order to receive a full refund, returns must include the product, all original packaging, instructions, and
          accessories.",/html/body/side-drawer[2]/div/div/p[2]
p,"All items must be returned and in good, working condition with normal wear and tear.",/html/body/side-drawer[2]/div/div/p[3]
p,Please allow up to 10 business days for processing after your return is received.,/html/body/side-drawer[2]/div/div/p[4]
p,We can only process returns for products sold on Solawave.co.,/html/body/side-drawer[2]/div/div/p[5]
p,"International orders:
          Those with unpaid customs fees are not eligible for return. Additionally, we cannot provide free return labels for
          international clients. International return shipping fees are not covered by Solawave.",/html/body/side-drawer[2]/div/div/p[6]
a,Skip to content,/html/body/a
p,700k+ Happy Customers,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[1]/div[1]/p
p,60 Day Risk-Free Returns,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[1]/div[2]/p
a,"Bestseller
4-in-1 Skincare Wand & Activating Serum Kit
Anti-Aging",/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[2]/a[1]
a,"Bye Acne: 3 Minute Pimple Spot Treatment
Anti-Acne",/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[2]/a[2]
a,SHOP ALL,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[3]/a[1]
a,Get Personalized Routine,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[3]/a[2]
a,Why Solawave,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[1]/ul/li[1]/a
a,FAQs,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[1]/ul/li[2]/a
a,Tutorials,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[1]/ul/li[3]/a
a,Referrals,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[2]/ul/li[1]/a
a,Contact Us,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[2]/ul/li[2]/a
a,Log In,/html/body/div[1]/div/div[1]/div[1]/div/div[2]/div[4]/div[2]/ul/li[3]/a
a,Shop All Skin Care,/html/body/div[1]/div/div[1]/div[2]/form/div[4]/div[1]/a
a,Shop Now,/html/body/div[1]/div/div[1]/div[3]/div[1]/div[2]/div[2]/a
a,Shop Now,/html/body/div[1]/div/div[1]/div[3]/div[1]/div[2]/div[2]/a
a,Shop,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/a
h3,FIND YOUR LIGHT,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[1]/h3
p,Science-backed Light Therapy skincare innovations for face and body.,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[1]/p
a,Shop Now,/html/body/div[1]/div/div[1]/div[3]/div[1]/div[2]/div[2]/a
a,More Details,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[1]/div[2]/a
a,"best seller
                                      





4-in-1 Radiant Renewal Skincare Wand & Activating Serum Kit",/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[2]/div[1]/a
h4,4-in-1 Radiant Renewal Skincare Wand & Activating Serum Kit,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[2]/div[1]/a/div[2]/h4
a,"Back In Stock
                                      





Red & Infrared LED Face Mask",/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[2]/div[2]/a
h4,Red & Infrared LED Face Mask,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[2]/div[2]/a/div[2]/h4
a,"Trending
                                      





Neck & Chest Rejuvenating Mask",/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[2]/div[3]/a
h4,Neck & Chest Rejuvenating Mask,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[2]/div[3]/a/div[2]/h4
a,"Trending
                                      





2-in-1 Face & Body Mini",/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[2]/div[4]/a
h4,2-in-1 Face & Body Mini,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[1]/div/div/div/div[2]/div[4]/a/div[2]/h4
a,Find Your Device,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[2]/a
a,Before & Afters,/html/body/div[1]/div/div[1]/div[3]/div[2]/div/div/div/header/div[3]/div/div[3]/ul/li[3]/a
